Num_sentences,sentence_number,sentence,answer,PureGrammarProfile,C【基本语义及用法】,【例句】,【结构特点】,prompt1,prompt2
7144,7,书架上那本小说我还没看完，怎么跑到哪儿去了？,F,口语格式：说到/想到哪儿去了,"
表示对上文内容的委婉否定。一般用于口语。
","
1.你看你，说到哪儿去了，我说的是买蛋糕的问题。
2.你想到哪儿去了!我肯定不会跟别人说的。
3.说到哪儿去了,那时候你也有你的难处嘛。
","
“说到/想到哪儿去了”作谓语,一般用于前半句,后半句提出说话人的观点。
S₁ + 说到/想到哪儿去了, S₂ + VP
你说到哪儿去了,咱们谁还不了解谁呢?
她想到哪儿去了,我只是去那儿借本书。

","请判断：在句子“书架上那本小说我还没看完，怎么跑到哪儿去了？”中，是否包含语法点[口语格式：说到/想到哪儿去了?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：说到/想到哪儿去了]表示
表示对上文内容的委婉否定。一般用于口语。
例句如下
1.你看你，说到哪儿去了，我说的是买蛋糕的问题。
2.你想到哪儿去了!我肯定不会跟别人说的。
3.说到哪儿去了,那时候你也有你的难处嘛。
请判断：在句子“书架上那本小说我还没看完，怎么跑到哪儿去了？”中，是否包含语法点[口语格式：说到/想到哪儿去了?
如果包含，请仅回答T
如果不包含，请仅回答F"
2048,2,他当心脚下，以免摔倒。,F,介词(引出时间)：当,"引出事件发生的时间,多用于正式语体。
","
1.当他进来的时候，我们正在看电视。
2.当爸爸回来的时候，妈妈已经做好晚饭了。
3.当你工作了，就会知道上学有多快乐了。
","
用在动词性成分前,经常以“当……时/的时候”形式出现。
当(+S1)+VP(+时/的时候),(S1+)VP
例：当大卫回来的时候,孩子们正在看电视。

","请判断：在句子“他当心脚下，以免摔倒。”中，是否包含语法点[介词(引出时间)：当?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出时间)：当]表示引出事件发生的时间,多用于正式语体。
例句如下
1.当他进来的时候，我们正在看电视。
2.当爸爸回来的时候，妈妈已经做好晚饭了。
3.当你工作了，就会知道上学有多快乐了。
请判断：在句子“他当心脚下，以免摔倒。”中，是否包含语法点[介词(引出时间)：当?
如果包含，请仅回答T
如果不包含，请仅回答F"
2110,7,她过分谦虚，反而让人觉得不真实。,F,经历态：用动态助词“过”表示,"“动词+过”表示主语已经经历过某事。
","
1.他学过中文。
2.我吃过饺子。
3.我看过这个电影。
","
1. 肯定形式：
   S+V+过+O(+了)
   例：他学过中文。

2. 否定形式：
   S+没+V+过+O
   例：他没学过中文。

3. 正反疑问形式：
   a. S+V+过+O+没有?
      例：你去过北京没有?
   b. S+V+没+V+过+O?
      例：你去没去过北京?

","请判断：在句子“她过分谦虚，反而让人觉得不真实。”中，是否包含语法点[经历态：用动态助词“过”表示?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[经历态：用动态助词“过”表示]表示“动词+过”表示主语已经经历过某事。
例句如下
1.他学过中文。
2.我吃过饺子。
3.我看过这个电影。
请判断：在句子“她过分谦虚，反而让人觉得不真实。”中，是否包含语法点[经历态：用动态助词“过”表示?
如果包含，请仅回答T
如果不包含，请仅回答F"
5087,10,怎么接受这个残酷的现实，考验着在场每一个人的承受能力。,F,用“怎么都/也+不/没”表示强调,"强调在各种条件下都不能或没有完成某个动作或实现某种结果。
","
1.她怎么都没想到自己会失败。
2.妈妈怎么都不同意。
3.昨天晚上我怎么也睡不着。
","
1. S + 怎么都/也 + 不 + VP
   妈妈 怎么都 不 同意我的要求。
2. S + 怎么都/也 + V1 + 不 + Adj/V2
   有些人 怎么也 吃 不 胖。
   昨天晚上 我 怎么也 睡 不 着。
3. S + 怎么都/也 + 没 + VP
   她 怎么都 没 想到自己会失败。","请判断：在句子“怎么接受这个残酷的现实，考验着在场每一个人的承受能力。”中，是否包含语法点[用“怎么都/也+不/没”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用“怎么都/也+不/没”表示强调]表示强调在各种条件下都不能或没有完成某个动作或实现某种结果。
例句如下
1.她怎么都没想到自己会失败。
2.妈妈怎么都不同意。
3.昨天晚上我怎么也睡不着。
请判断：在句子“怎么接受这个残酷的现实，考验着在场每一个人的承受能力。”中，是否包含语法点[用“怎么都/也+不/没”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
1009,3,你学了几门课程？,T,疑问代词：几,"用在疑问句中，询问数量。一般用来询问“十”以下或说话人认为很少的数量。多用于口语。
","
1.现在几点？
2.你有几本中文课本？
3.你们几个人去？
","
疑问代词“几”跟量词组合后，可以作定语、宾语。

1. S+V+几+M+N?
   你有几本书？

2. S+V+几+M?
   你买几张？

","请判断：在句子“你学了几门课程？”中，是否包含语法点[疑问代词：几?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[疑问代词：几]表示用在疑问句中，询问数量。一般用来询问“十”以下或说话人认为很少的数量。多用于口语。
例句如下
1.现在几点？
2.你有几本中文课本？
3.你们几个人去？
请判断：在句子“你学了几门课程？”中，是否包含语法点[疑问代词：几?
如果包含，请仅回答T
如果不包含，请仅回答F"
1030,5,他要在马上完成这幅画作。,F,时间副词：马上,"表示动作或情况在短时间内发生。
","
1.医生马上来。
2.对不起，我马上走。
3.马上好，别急。
","
“马上”用在主语后、动词前，作状语，常与“就”一起使用。

S+马上(+就)+VP
我马上就回家。
他马上去车站。

","请判断：在句子“他要在马上完成这幅画作。”中，是否包含语法点[时间副词：马上?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：马上]表示表示动作或情况在短时间内发生。
例句如下
1.医生马上来。
2.对不起，我马上走。
3.马上好，别急。
请判断：在句子“他要在马上完成这幅画作。”中，是否包含语法点[时间副词：马上?
如果包含，请仅回答T
如果不包含，请仅回答F"
2045,6,我们都同意这个计划。,F,语气副词：都2,"“都”表示说话人认为时间晚、用时长、数量多或动作状态达到很高的程度。
","
1.都十二点了，我们该睡觉了。
2.我今年都七十了。
3.天都黑了，他还没来。
","
“都”与数量短语、名词性短语或形容词组合，句末通常用语气助词“了”。
(S+)都2+NumP/NP/Adj+了2
例句：
- 都三天了，他还没写完作业。
- 都大学生了，你还不会做这道题！
- 饭都凉了，你快吃吧。

","请判断：在句子“我们都同意这个计划。”中，是否包含语法点[语气副词：都2?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[语气副词：都2]表示“都”表示说话人认为时间晚、用时长、数量多或动作状态达到很高的程度。
例句如下
1.都十二点了，我们该睡觉了。
2.我今年都七十了。
3.天都黑了，他还没来。
请判断：在句子“我们都同意这个计划。”中，是否包含语法点[语气副词：都2?
如果包含，请仅回答T
如果不包含，请仅回答F"
4060,4,她收到了朋友寄来的礼物。,F,兼语句2表称谓或认定义：主语+叫/称(呼)/说/收/选+宾语1+做/为/当/是+宾语2,"表示主语将某人称作某一称谓，或将某人认作某一身份。
","
1.大家都称他为先生。
2.老师们都说他是好学生。
3.大家都选他当班长。
","
1. 肯定形式：
   S + 叫/称(呼)/说/收/选 + O1 + 做/为/当/是 + O2
   例：大家都称他为先生。
       老师们都说他是好学生。
       王教授收我做研究生。
       同学们都选他当班长。

2. 否定形式：
   S + 没/没有 + 叫/称(呼)/说/收/选 + O1 + 做/为/当/是 + O2
   例：王教授没/没有收我做研究生。

3. 疑问形式：
   a. S + 叫/称(呼)/说/收/选 + O1 + 做/为/当/是 + O2 + 了 + 吗/没有？
      例：王教授收你做研究生了吗/没有？

   b. S + 收/选 + 没 + 收/选 + O + 做/为/当/是 + O2?
      例：同学们都选没选他当班长？

   c. S + 有没有 + 叫/称(呼)/说/收/选 + O + 做/为/当/是 + O2?
      例：王教授有没有收你做研究生？

","请判断：在句子“她收到了朋友寄来的礼物。”中，是否包含语法点[兼语句2表称谓或认定义：主语+叫/称(呼)/说/收/选+宾语1+做/为/当/是+宾语2?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[兼语句2表称谓或认定义：主语+叫/称(呼)/说/收/选+宾语1+做/为/当/是+宾语2]表示表示主语将某人称作某一称谓，或将某人认作某一身份。
例句如下
1.大家都称他为先生。
2.老师们都说他是好学生。
3.大家都选他当班长。
请判断：在句子“她收到了朋友寄来的礼物。”中，是否包含语法点[兼语句2表称谓或认定义：主语+叫/称(呼)/说/收/选+宾语1+做/为/当/是+宾语2?
如果包含，请仅回答T
如果不包含，请仅回答F"
2099,6,这个决定是正确的。,F,"选择复句：用关联词语：(是)………,还是……","由两个分句构成,这两个分句由“还是”连接,分别列出两种情况,让听话者从中选择一种。
","
1.你是坐火车来的,还是坐飞机来的?
2.周末你们想去打排球,还是想去打篮球?
3.你想买手机,还是想买相机?
","
1. S(+是)+P1, 还是+P2?
   他是喝水,还是喝茶?
   你想买手机,还是想买相机?

2. (是+)S1+P1, 还是+S2+P2?
   是他过来,还是我们过去?
   你去买水果,还是他去买水果?

","请判断：在句子“这个决定是正确的。”中，是否包含语法点[选择复句：用关联词语：(是)………,还是……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[选择复句：用关联词语：(是)………,还是……]表示由两个分句构成,这两个分句由“还是”连接,分别列出两种情况,让听话者从中选择一种。
例句如下
1.你是坐火车来的,还是坐飞机来的?
2.周末你们想去打排球,还是想去打篮球?
3.你想买手机,还是想买相机?
请判断：在句子“这个决定是正确的。”中，是否包含语法点[选择复句：用关联词语：(是)………,还是……?
如果包含，请仅回答T
如果不包含，请仅回答F"
6011,8,我们早晚要面对这个问题的。,T,时间副词：早晚,"意思是“或者早或者晚”，表示事情到最后总会有一个结果。
","
1.他早晚会知道事情的真相。
2.再这样高强度地工作，你早晚会累坏身体。
3.再这样下去，公司早晚会破产。
","
“早晚”作状语，可用于主语后边、动词性成分前边，也可用于主语前边。
1. S + 早晚 + VP
   他 早晚 会 知道事情的真相。
2. 早晚 + S + VP
   早晚 我 会 学好外语的。

","请判断：在句子“我们早晚要面对这个问题的。”中，是否包含语法点[时间副词：早晚?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：早晚]表示意思是“或者早或者晚”，表示事情到最后总会有一个结果。
例句如下
1.他早晚会知道事情的真相。
2.再这样高强度地工作，你早晚会累坏身体。
3.再这样下去，公司早晚会破产。
请判断：在句子“我们早晚要面对这个问题的。”中，是否包含语法点[时间副词：早晚?
如果包含，请仅回答T
如果不包含，请仅回答F"
2019,6,这个主意不错，我们可以试试看。,F,程度副词：好,"表示某种事物性质或心理活动达到很高的程度,用在感叹句中,含有强烈的感情色彩。只用于口语。
","
1.这个教室好大啊!
2.我好喜欢这条小狗!
3.好漂亮的衣服!
","
程度副词“好”一般用于形容词和心理动词前,构成感叹句。句末常用语气助词“啊”。

1. S+好+Adj(+啊)!
   房间里好凉快!

2. S+好+V心理+O+啊!
   你好爱看电视啊!

3. 好+Adj+的+N(+啊)!
   好可爱的孩子啊!
   好漂亮的衣服!

4. S+V+得+好+Adj(+啊)!
   他们玩儿得好开心啊!
   衣服洗得好干净!

","请判断：在句子“这个主意不错，我们可以试试看。”中，是否包含语法点[程度副词：好?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[程度副词：好]表示表示某种事物性质或心理活动达到很高的程度,用在感叹句中,含有强烈的感情色彩。只用于口语。
例句如下
1.这个教室好大啊!
2.我好喜欢这条小狗!
3.好漂亮的衣服!
请判断：在句子“这个主意不错，我们可以试试看。”中，是否包含语法点[程度副词：好?
如果包含，请仅回答T
如果不包含，请仅回答F"
4050,10,他向老师说出了自己的困惑。,T,趋向补语3：表示结果意义(引申用法)：动词+出,"趋向补语“出”表示动作完成的结果从无到有，从不清楚到清楚，从隐蔽到显露，如“想出办法、说出秘密”。
","
1.他向父母说出了自己的愿望。
2.我听出她的声音了。
3.我想出了一个办法。
","
S+V+出(+了)+O
1. 他向父母说出了自己的愿望。
2. 我听出她的声音了。","请判断：在句子“他向老师说出了自己的困惑。”中，是否包含语法点[趋向补语3：表示结果意义(引申用法)：动词+出?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[趋向补语3：表示结果意义(引申用法)：动词+出]表示趋向补语“出”表示动作完成的结果从无到有，从不清楚到清楚，从隐蔽到显露，如“想出办法、说出秘密”。
例句如下
1.他向父母说出了自己的愿望。
2.我听出她的声音了。
3.我想出了一个办法。
请判断：在句子“他向老师说出了自己的困惑。”中，是否包含语法点[趋向补语3：表示结果意义(引申用法)：动词+出?
如果包含，请仅回答T
如果不包含，请仅回答F"
3014,9,他戴着一副反光眼镜，看起来很酷。,F,范围、协同副词：光,"表示限定某个范围，除此之外没有其他的。多用于口语。
","
1.他每天光玩儿不学习。
2.你别光想着看电视。
3.我们不能光看到别人的缺点。
","
“光”一般用在动词性、形容词性成分前，作状语；也可以用于名词性成分前。
1. S+光+VP/AP
   他每天光玩儿不学习。
   你别光伤心，想想有没有什么办法。

2. 光+NP
   教室里不光他一个人，还有别人。

","请判断：在句子“他戴着一副反光眼镜，看起来很酷。”中，是否包含语法点[范围、协同副词：光?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[范围、协同副词：光]表示表示限定某个范围，除此之外没有其他的。多用于口语。
例句如下
1.他每天光玩儿不学习。
2.你别光想着看电视。
3.我们不能光看到别人的缺点。
请判断：在句子“他戴着一副反光眼镜，看起来很酷。”中，是否包含语法点[范围、协同副词：光?
如果包含，请仅回答T
如果不包含，请仅回答F"
4084,5,她不喜欢吃辣的食物。,F,用“一+量词(+名词)+也(都)/也没(不)……”表示强调,"“一+量词(+名词)+也(都)/也没(不)……”通过否定最小的量“一”表示对全体的否定，语气比较强。如“我一本中文书也没看过”的意思是“我从来没看过中文书”。
","
1.我一本中文书也没看过。
2.我在北京一个人都不认识。
3.那些苹果一个也不甜。
","
1. S + 一 + M(+ NP) + 也/都 + 没/不 + VP
   例：刚来北京的时候，他一个人都不认识。
       我一本中文书也没看过。

2. S + 一 + M(+ N) + 也/都 + V 不 C
   例：他一句中文也听不懂。
       我一步路都走不动了。

3. S + 一 + M + 也/都 + 不/没 + Adj
   例：这些衣服一件也不干净。
       山上的树叶一片都没红。","请判断：在句子“她不喜欢吃辣的食物。”中，是否包含语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调]表示“一+量词(+名词)+也(都)/也没(不)……”通过否定最小的量“一”表示对全体的否定，语气比较强。如“我一本中文书也没看过”的意思是“我从来没看过中文书”。
例句如下
1.我一本中文书也没看过。
2.我在北京一个人都不认识。
3.那些苹果一个也不甜。
请判断：在句子“她不喜欢吃辣的食物。”中，是否包含语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
1003,8,她加入了一个读书会，每周讨论一本书。,F,能愿动词：会,"表示有能力做某事或有可能。表示做某事的能力时,强调通过学习得到某种能力。
","
1.我不会说中文。
2.我男朋友会打篮球。
3.她会参加明天的晚会吗?
","
能愿动词“会”用在动词性成分的前边。

1. 肯定形式：
   S+会+VP
   我男朋友会打篮球。

2. 否定形式：
   S+不会+VP
   我不会说中文。

3. 正反疑问形式：
   S+会不会+VP?
   你会不会做面包?

","请判断：在句子“她加入了一个读书会，每周讨论一本书。”中，是否包含语法点[能愿动词：会?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[能愿动词：会]表示表示有能力做某事或有可能。表示做某事的能力时,强调通过学习得到某种能力。
例句如下
1.我不会说中文。
2.我男朋友会打篮球。
3.她会参加明天的晚会吗?
请判断：在句子“她加入了一个读书会，每周讨论一本书。”中，是否包含语法点[能愿动词：会?
如果包含，请仅回答T
如果不包含，请仅回答F"
